<oov> 1.0	<oov>
ادھورا 1.0	A D_D_H U_U R A_A
ادھیڑ 1.0	U D_D_H A_Y R_R
ادھیڑنے 1.0	U D_D_H A_Y R_R N A_Y
ادیبوں 1.0	A D_D I_I1 B O_O_N
ارب 1.0	A R A B
ارتعاش 1.0	I R T_D I A_A S_H
ارجمند 1.0	A R D_Z M A N D_D
ارزاں 1.0	A R Z A_A_N
ارسال 1.0	I R S A_A L
ارشاد 1.0	I R S_H A_A D_D
ارشد 1.0	A R S_H A D_D
ارمغان 1.0	A R M U G_G A_A N
ارکان 1.0	A R K A_A N
ارینجڈ 1.0	A R A_Y N D_Z D
اریگیشن 1.0	A R I_I1 G A_Y S_H A N
از 1.0	A Z
ازالہ 1.0	A Z A_A L A_A
ازاں 1.0	A Z A_A_N
ازبک 1.0	U Z B A K
ازخود 1.0	A Z X U D_D
ازدواجی 1.0	I Z D_D I V A_A D_Z I_I1
ازسرنو 1.0	A Z S A R A_Y N O
اس 1.0	A S
اسبغول 1.0	I S S A B G_G O_O L
استاد 1.0	U S T_D A_A D_D
استحصالی 1.0	I S T_D I H S A_A L I_I1
استحقاق 1.0	I S T_D I H Q A_A Q
استعفے 1.0	I S T_D I F A_Y
استعمال 1.0	I S T_D A_Y M A_A L
استغاثہ 1.0	I S T_D I G_G A_A S A_A
استغراق 1.0	I S T_D I G_G R A_A Q
استغفار 1.0	I S T_D I G_G F A_A R
استغنا 1.0	I S T_D I G_G N A_A
استفادے 1.0	I S T_D A_Y F A_A D_D A_Y
استفسار 1.0	I S T_D I F S A_A R
استفہامیہ 1.0	I S T_D I F H A_A M I J A_A
استقلال 1.0	I S T_D A_Y Q L A_A L
استھان 1.0	A S T_D_H A_A N
اسجد 1.0	A S D_Z A D_D
اسرائیلی 1.0	I S R A_A I_I1 L I_I1
اسسٹنٹ 1.0	A S I S T A N T
اسقاط 1.0	I S Q A_A T_D
اسلامی 1.0	I S L A_A M I_I1
اسلحہ 1.0	A S L A_Y H A_A
اسلم 1.0	I S L A M
اسلوب 1.0	U S L U_U B
اسمبلی 1.0	A S A M B L I_I1
اسود 1.0	A S V A D_D
اسٹورز 1.0	I S T O_O R Z
اسکواڈ 1.0	I S K U V A_A D
اسہال 1.0	I S H A_A L
اسی 1.0	U S I_I1
اسے 1.0	A S A_Y
اشارہ 1.0	I S_H A_A R A_A
اشاعت 1.0	I S_H A_A A T_D
اشتعال 1.0	I S_H T_D I A_A L
اشجار 1.0	A S_H D_Z A_A R
اشخاص 1.0	A S_H X A_A S
اشد 1.0	A S_H H A D_D
اشرف 1.0	A S_H R A F
اشعار 1.0	A S_H A_A R
اشفاق 1.0	A S_H F A_A Q
اشیا 1.0	A S_H J A_A
اصحاب 1.0	A S H A_A B
اصغر 1.0	A S G_G A R
اصل 1.0	A S L
اصلاحات 1.0	I S L A_A H A_A T_D
اضافہ 1.0	I Z A_A F A_A
اضافے 1.0	I Z A_A F A_Y
اضلاع 1.0	I Z L A_A
اطالوی 1.0	I T_D A_A L V I_I1
اطلاعات 1.0	I T_D T_D I L A_A A_A T_D
اظہار 1.0	I Z H A_A R
اعادہ 1.0	I A_A D_D A_A
اعانت 1.0	A_Y A_A N A T_D
اعتبار 1.0	A_Y T_D I B A_A R
اعتراف 1.0	A_Y T_D I R A_A F
اعتماد 1.0	A_Y T_D I M A_A D_D
اعدادوشمار 1.0	A D_D A_A D_D O_O S_H U M A_A R
اعزاز 1.0	A_Y Z A_A Z
اعزہ 1.0	A I Z Z A_A
اعظم 1.0	A_A Z A M
اعلامیے 1.0	I L A_A M I_I1 A_Y
اعلان 1.0	A_Y L A_A N
اغراض 1.0	A G_G R A_A Z
اغوا 1.0	I G_G V A_A
اغیار 1.0	A G_G J A_A R
افادہ 1.0	I F A_A D_D A_A
افتادہ 1.0	U F T_D A_A D_D A_A
افراد 1.0	A F R A_A D_D
افراط 1.0	I F R A_A T_D
افزائش 1.0	A F Z A_A I S_H
افزودگی 1.0	A F Z U_U D_D A G I_I1
افسانے 1.0	A F S A_A N A_Y
افسران 1.0	A F S A R A_A N
افسردہ 1.0	A F S U R D_D A_A
افسوس 1.0	A F S O_O S
افسوسناک 1.0	A F S O_O S N A_A K
افشا 1.0	I F S_H A_A
افضل 1.0	A F Z A L
افغان 1.0	A F G_G A_A N
افق 1.0	U F U Q
افلاس 1.0	I F L A_A S
افواج 1.0	A F V A_A D_Z
افورڈ 1.0	A F O_O R D
افکار 1.0	U F K A_A R
افگن 1.0	A F G A N
افیم 1.0	A F I_I1 M
افیون 1.0	A F J U_U N
افیکٹ 1.0	I F A_E1 K T
اقبال 1.0	I Q B A_A L
اقتصادی 1.0	I Q T_D I S A_A D_D I_I1
اقدامات 1.0	I Q D_D A_A M A_A T_D
اقرار 1.0	I Q R A_A R
اقربا 1.0	A Q R A B A_A
اقلیتوں 1.0	A Q L I_I1 J A T_D O_O_N
اقوام 1.0	A Q V A_A M
الاؤنس 1.0	A L A_A U_U N S
البتہ 1.0	A L B A T_D T_D A_A
الجھ 1.0	U L A D_Z_H
الجھا 1.0	U L D_Z_H A_A
الجھاؤ 1.0	U L D_Z_H A_A O_O
الجھن 1.0	U L D_Z_H A N
الجھی 1.0	U L D_Z_H I_I1
الجھیں 1.0	U L D_Z_H A_Y_N
الجھے 1.0	U L D_Z_H A_Y
الحاج 1.0	A L H A_A D_Z
الحاق 1.0	I L H A_A Q
الزام 1.0	I L Z A_A M
السی 1.0	A L S I_I1
الفاظ 1.0	A L F A_A Z
الفت 1.0	U L F A T_D
اللہ 1.0	A_A L L A H
المیوں 1.0	A L M I J J O_O_N
الوداع 1.0	A L V I D_D A_A
الہیات 1.0	I L A H J A_A T_D
الیون 1.0	A L A_E1 V A N
الیکشن 1.0	I L A_E1 K S_H A N
الیکڑانکس 1.0	I L A_E1 K T I R A_A N I K S
امجد 1.0	A M D_Z A D_D
امداد 1.0	I M D_D A_A D_D
امراض 1.0	A M R A_A Z
امرتا 1.0	A M R I T_D A_A
امرتسری 1.0	A M R A T_D S A R I_I1
امرود 1.0	A M R U_U D_D
امروہی 1.0	A M R O_O H I_I1
امریکی 1.0	A M R I_I1 K I_I1
امن 1.0	A M A N
امور 1.0	U M U_U R
امپائر 1.0	A_Y M P A_A A_Y R
امیج 1.0	I M A_E1 D_Z
امیدوار 1.0	U M I_I1 D_D V A_A R
امیگریشن 1.0	I M I_I1 G I R A_Y S_H A N
ان 1.0	A N
انار 1.0	A N A_A R
اناسیواں 1.0	U N A_A S I_I1 V A_A_N
اناڑی 1.0	A N A_A R_R I_I1
انتخابات 1.0	I N T_D I X A_A B A_A T_D
انتقال 1.0	I N T_D I Q A_A L
انتھک 1.0	A N T_D_H A K
انتہاؤں 1.0	I N T_D I H A_A O_O_N
انتہائی 1.0	I_I1 N T_D A_E_H H A_A I_I1
انجام 1.0	A N D_Z A_A M
انجری 1.0	I N D_Z R I_I1
انجمن 1.0	A N D_Z U M A N
انجنیئر 1.0	I N D_Z I N I_I1 A R
انجکشن 1.0	I N D_Z I K S_H A N
انحصار 1.0	I N H I S A_A R
انحطاط 1.0	I N H A_Y T_D A_A T_D
انخلا 1.0	I N X I L A_A
انداز 1.0	A N D_D A_A Z
اندھادھند 1.0	A N D_D_H A_A D_D_H U N D_D
اندھیروں 1.0	A N D_D_H A_Y R O_O_N
اندھیرے 1.0	A N D_D_H A_Y R A_Y
اندھے 1.0	A N D_D_H A_Y
انسان 1.0	I N S A_A N
انسانیت 1.0	I N S A_A N I_I1 J A T_D
انستھیزیا 1.0	I N S T_D_H I_I1 Z I J A_A
انسولیشن 1.0	I N S O_O L A_Y S_H A N
انسولین 1.0	I N S O_O L I_I1 N
انسٹھویں 1.0	I N S A T_H V A_Y_N
انسیکٹی 1.0	I N S A_E1 K T I_I1
انشائیہ 1.0	I N S_H A_A I J A_A
انشااللہ 1.0	I N S_H A_A A L L A_A
انشورنس 1.0	I N S_H O_O R I N S
انضباطی 1.0	I N Z A_Y B A_A T_D I_I1
انضمام 1.0	I N Z I M A_A M
انظباتی 1.0	I N Z I B A_A T_D I_I1
انعقاد 1.0	I N A_Y Q A_A D_D
انفارمیشن 1.0	I N F A_A R M A_Y S_H A N
انفرادی 1.0	I N F I R A_A D_D I_I1
انفلوئنزا 1.0	I N F I L U_U I N Z A_A
انفورسمنٹ 1.0	I N F O_O R S M A N T
انفیکشن 1.0	I N F A_E1 K S_H A N
انقلاب 1.0	I N Q I L A_A B
اننگز 1.0	I N I N_G Z
انوالومنٹ 1.0	I N V A_A L V M A N T
انور 1.0	A N V A R
انوسٹمنٹ 1.0	I N V A S T M A N T
انوکھی 1.0	A N O_O K_H I_I1
انوکھے 1.0	A N O_O K_H A_Y
انٹر 1.0	I N T A R
انٹرفیس 1.0	I N T A R F A_Y S
انٹرمیڈیٹ 1.0	I N T A R M I_I1 D J A T
انٹلیکچوئل 1.0	I N T L A_E1 K T_S1 U_U I L
انٹیلجنس 1.0	I N T A_E1 L D_Z A N S
انٹیلیجینس 1.0	I N T A_E1 L I_I1 D_Z A_E1 N S
انڈسٹری 1.0	I N D A S T R I_I1
انکشاف 1.0	I N K I S_H A_A F
انکلوژر 1.0	I N K A L O_O Z_Z A R
انگریزوں 1.0	A N_G R A_Y Z O_O_N
انگریزی 1.0	A N_G R A_Y Z I_I1
انگشت 1.0	A N_G G A S_H T_D
انگلش 1.0	I N_G L I S_H
انگلی 1.0	U N_G L I_I1
انگور 1.0	A N_G G U_U R
انگوٹھا 1.0	A N_G G U_U T_H A_A
انگوٹھی 1.0	A N_G G U_U T_H I_I1
انگوٹھیاں 1.0	A N_G G U_U T_H I J A_A_N
انگوٹھے 1.0	A N_G G U_U T_H A_Y
انگیخت 1.0	A N_G G A_Y X T_D
انہونی 1.0	A N H O_O N I_I1
انہوں 1.0	U N H O_O_N
انہی 1.0	A N H I_I1
انہیں 1.0	U N H A_Y_N
انیس 1.0	U N N I_I1 S
انیق 1.0	A N I_I1 Q
اوئے 1.0	O_O A_Y
اواخر 1.0	A V A_A X I R
اوباش 1.0	O_O B A_A S_H
اوج 1.0	O D_Z
اوجھل 1.0	O_O D_Z_H A L
اوجھڑی 1.0	O_O D_Z_H R_R I_I1
اودھم 1.0	U_U D_D_H A M
اور 1.0	O R
اورنگ 1.0	O_O R A N_G
اوزار 1.0	O Z A_A R
اوس 1.0	O_O S
اوسط 1.0	O S A T_D
اوصاف 1.0	O S A_A F
اوقات 1.0	O Q A_A T_D
اول 1.0	A V V A L
اولاد 1.0	O L A_A D_D A
اولولعزم 1.0	U_U L U_U L A Z M
اولڈ 1.0	O_O L D
اولی 1.0	O_O L I_I1
اولین 1.0	A V V A L I_I1 N
اومیگا 1.0	O_O M A_Y G A_A
اونس 1.0	O N S
اونچی 1.0	U_U N T_S1 I_I1
اونی 1.0	O_O N I_I1
اونے 1.0	O N A_Y
اوور 1.0	O_O V A R
اوورلوڈنگ 1.0	O_O V A R L O_O D I N_G
اوورہیڈ 1.0	O_O V A R H A_E1 D
اوپر 1.0	U_U P A R
اوچھے 1.0	O_O T_S_H A_Y
اوڈ 1.0	O_O D
اوڈھو 1.0	O_O D_H O_O
اوڑھ 1.0	O_O R_R_H
اوڑھا 1.0	O_O R_R_H A_A
اوڑھنا 1.0	O_O R_R_H N A_A
اوڑھے 1.0	O_O R_R_H A_Y
اوکاڑوی 1.0	O_O K A_A R_R V I_I1
اوکھا 1.0	O_O K_H A_A
اوہام 1.0	O H A_A M
اوہو 1.0	O_O H O_O
اویئرنس 1.0	O I_I1 A R A N S
اویسی 1.0	U V A_E1 S I_I1
اُدھر 1.0	U D_D_H A R
اُمید 1.0	U M I_I1 D_D
اُٹھا 1.0	U T_H A_A
اُٹھاؤں 1.0	U T_H A_A U_U_N
اُٹھانے 1.0	U T_H A_A N A_Y
اُٹھایا 1.0	U T_H A_A J A_A
اُٹھو 1.0	U T_H O_O
اٹھ 1.0	U T_H
اٹھا 1.0	U T_H A_A
اٹھاؤ 1.0	U T_H A_A O_O
اٹھائیس 1.0	A T T_H A_A I_I1 S
اٹھائیں 1.0	K_H A_A A_Y_N
اٹھائے 1.0	U T_H A_A A_Y
اٹھارہ 1.0	A T T_H A_A R A_A
اٹھاسی 1.0	A T T_H A_A S I_I1
اٹھاون 1.0	A T_H A_A V A N
اٹھایا 1.0	U T_H A_A J A_A
اٹھتر 1.0	A T_H A T_D T_D A R
اٹھنے 1.0	U T_H N A_Y
اٹھوا 1.0	U T_H V A_A
اٹھی 1.0	U T_H I_I1
اٹھیں 1.0	U T_H A_Y_N
اٹھے 1.0	U T_H A_Y
اپروچ 1.0	A P R O_O T_S1
اپنا 1.0	A P N A_A
اپنائیں 1.0	A P N A_A A_Y_N
اپنی 1.0	A_A P N I_I1
اپنے 1.0	A P N A_Y
اپوزیشن 1.0	A P O_O Z I_I1 S_H A N
اپھارہ 1.0	A P_H A_A R A_A
اپیلیں 1.0	A P I_I1 L A_Y_N
اچانک 1.0	A T_S1 A_A N A K
اچاٹ 1.0	U T_S1 A_A T
اچنبھے 1.0	A T_S1 A M B_H A_Y
اچک 1.0	U T_S1 A K
اچھا 1.0	U T_S_H T_S_H A_A
اچھائی 1.0	A T_S1 T_S_H A_A I_I1
اچھال 1.0	U T_S_H A_A L
اچھل 1.0	U T_S_H A L
اچھلی 1.0	U T_S_H L I_I1
اچھی 1.0	A T_S1 T_S_H I_I1
اچھے 1.0	A T_S_H T_S_H A_Y
اچیومنٹ 1.0	A T_S1 I_I1 V M A N T
اڈوں 1.0	A D D O_O_N
اڈے 1.0	A D D A_Y
اڑا 1.0	U R_R A_A
اڑائیں 1.0	U R_R A_A A_Y_N
اڑائے 1.0	U R_R A_A A_Y
اڑانے 1.0	U R_R A_A N A_Y
اڑایا 1.0	A R_R A_A J A_A
اڑتالیس 1.0	A R_R T_D A_A L I_I1 S
اڑسٹھ 1.0	A R_R S A T_H
اڑنے 1.0	U R_R N A_Y
اڑوں 1.0	U R_R U_U_N
اڑھائی 1.0	A R_R_H A_A I_I1
اڑیں 1.0	U R_R A_Y_N
اژدھا 1.0	A Z_Z D_D_H A_A
اژدھام 1.0	A Z_Z D_D_H A_A M
اکثریت 1.0	A K S A R I_I1 J A T_D
اکرم 1.0	A K R A M
اکٹھی 1.0	I K A T_H I_I1
اکھاڑ 1.0	U K_H A_A R_R
اکھنڈ 1.0	A K_H A N D
اکھڑ 1.0	U K_H A R_R
اکھڑنا 1.0	U K_H A R_R N A_A
اکیسویں 1.0	A K I_I1 S V A_Y_N
اگائے 1.0	U G A_A A_Y
اگر 1.0	A G A R
اگرچہ 1.0	A G A R T_S1 A_Y
اگلا 1.0	A G L A_A
اگلی 1.0	U G L I_I1
اگلے 1.0	U G L A_Y
اگنے 1.0	U G N A_Y
اہل 1.0	A_E1 H L
اہلخانہ 1.0	A H L A_Y X A_A N A_A
اہلسنت 1.0	A H L I S U N N A T_D
اہلکار 1.0	A H A L K A_A R
اہلیہ 1.0	A_E_H H L I_I1 A_A
اہم 1.0	A H A M
ای 1.0	I_I1
ایئر 1.0	A_Y A R
ایام 1.0	A J J A_A M
ایتھرنیٹ 1.0	A_E1 T_D_H A R N A_Y T
ایتھلیٹ 1.0	A_E1 T_D_H L I_I1 T
ایثار 1.0	I_I1 S A_A R
ایجاد 1.0	I_I1 D_Z A_A D_D
ایجنسی 1.0	A_Y D_Z A N S I_I1
ایجنسیز 1.0	A_E1 D_Z I N S I_I1 Z
ایجنسیوں 1.0	A_Y D_Z A N S I_I1 O_O_N
ایجوکیشن 1.0	A_E1 D_Z U_U K A_Y S_H A N
ایرانی 1.0	I_I1 R A_A N I_I1
ایرو 1.0	A_E1 R O_O
ایری 1.0	A_E1 R I_I1
ایریا 1.0	A_Y R I J A_A
ایز 1.0	I_I1 Z
ایس 1.0	A_E1 S
ایسا 1.0	A_E1 S A_A
ایسڈ 1.0	A_Y S I D
ایسی 1.0	A_E1 S I_I1
ایسے 1.0	A_E1 S A_Y
ایشز 1.0	A_E1 S_H I Z
ایشو 1.0	I_I1 S_H U_U
ایشوز 1.0	I_I1 S_H S_H U_U Z
ایشیائی 1.0	A_Y S_H I J A_A I_I1
ایشیائیوں 1.0	A_Y S_H J A_A I_I1 O_O_N
ایضا 1.0	A_E1 Z A N
ایف 1.0	A_Y F
ایفا 1.0	I_I1 F A_A
ایفروایشین 1.0	A_E1 F R O_O A_Y S_H I J A N
ایفکٹ 1.0	I_I1 F K T
ایقان 1.0	I_I1 Q A_A N
ایل 1.0	A_E1 L
ایلوویرا 1.0	A_E1 L O_O V A_Y R A_A
ایلویٹ 1.0	A_E1 L V A_Y T
ایلچی 1.0	A_Y L T_S1 I_I1
ایلیمنٹری 1.0	A_E1 L I_I1 M A N T A R I_I1
ایلیٹ 1.0	I_I1 L I_I1 T
ایم 1.0	A_E1 M
ایمبولینس 1.0	A_E1 M B O_O L A_E1 N S
ایمبیسی 1.0	A_E1 M B A_E1 S I_I1
ایمرجنسی 1.0	A_E1 M A R D_Z A N S I_I1
این 1.0	A_E1 N
ایندھن 1.0	I_I1 N D_D_H A N
اینٹھن 1.0	A_E1 N T_H A N
اینڈ 1.0	A_E1 N D
اینگرو 1.0	A_E1 N_G R O_O
اینگزائٹی 1.0	A_E1 N_G Z A_A I T I_I1
اینگلو 1.0	A_E1 N_G L O_O
ایوارڈ 1.0	A_Y V A_A R D
ایوان 1.0	A_E1 V A_A N
ایوبی 1.0	A_E1 J U_U B I_I1
ایوننگ 1.0	A_E1 V I N I N_G
ایونٹ 1.0	I_I1 V A N T
ایونیو 1.0	A_E1 V A N J U_U
ایچ 1.0	A_Y T_S1
ایڈجسٹ 1.0	A_E1 D D_Z A S T
ایڈریس 1.0	A_E1 D R A_E1 S
ایڈز 1.0	A_Y D Z
ایڈن 1.0	I_I1 D A N
ایڈوائزری 1.0	A_E1 D V A_A I Z I R I_I1
ایڈوانسڈ 1.0	A_E1 D V A_A N S D
ایڈورٹائزنگ 1.0	A_E1 D V A R T A_A I Z I N_G
ایڈونچر 1.0	A_E1 D V A N T_S1 A R
ایڈووکیٹ 1.0	A_E1 D V U_U K A_Y T
ایڈڈ 1.0	A_E1 D I D
ایڈہاک 1.0	A_E1 D H A_A K
ایڈیشنل 1.0	A_E1 D I_I1 S_H N A L
ایڑی 1.0	A_Y R_R I_I1
ایک 1.0	A_Y K
ایکسچینج 1.0	A_E1 K S T_S1 A_Y N D_Z
ایکسیئن 1.0	A_E1 K S I_I1 A N
ایکسیڈنٹ 1.0	A_E1 K S I_I1 D A N T
ایکویٹی 1.0	A_E1 K O_O J I T I_I1
ایگزامینر 1.0	A_E1 G Z A_A M I_I1 N A R
ایگزٹ 1.0	A_E1 G Z I T
ایگزیکٹو 1.0	A_E1 G Z A_E1 K I T I V
ایگلز 1.0	I_I1 G A L Z
ایں 1.0	A_E_N
ایہام 1.0	I_I1 H A_A M
اے 1.0	A_Y
بآسانی 1.0	B A A_A S A_A N I_I1
با 1.0	B A_A
باآسانی 1.0	B A_A A_A S A_A N I_I1
باؤلر 1.0	B A U_U L A R
باؤنڈری 1.0	B A_A U_U N D R I_I1
بائیس 1.0	B A_A I_I1 S
بائیوس 1.0	B A_A I_I1 O_O S
بائیولوجیکل 1.0	B A_A I_I1 O_O L O_O D_Z I_I1 K A L
بائیں 1.0	B A_A I_I_N
بااثر 1.0	B A_A A S A R
باادب 1.0	B A_A A D_D A B
بااصول 1.0	B A_A U S U_U L
بااللہ 1.0	B I L L A_A H
باب 1.0	B A_A B
بات 1.0	B A_A T_D
باتھو 1.0	B A_A T_D_H U_U
باجرہ 1.0	B A_A D_Z R A_A
باجوہ 1.0	B A_A D_Z V A_A
باخبر 1.0	B A_A X A B A R
باد 1.0	B A_A D_D
بادشاہ 1.0	B A_A D_D S_H A_A
باذوق 1.0	B A_A Z O_O Q
بار 1.0	B A_A R
باران 1.0	B A_A R A_A N
بارش 1.0	B A_A R I S_H
بارونق 1.0	B A_A R O N A Q
